Date,Series,Value
2018-04-18,Average Tone,0.41
2018-04-19,Average Tone,-0.3063
2018-04-20,Average Tone,0.1725
2018-04-21,Average Tone,0.2107
2018-04-22,Average Tone,0.3399
2018-04-23,Average Tone,0.0897
2018-04-24,Average Tone,-0.1371
2018-04-25,Average Tone,0.2502
2018-04-26,Average Tone,0.1038
2018-04-27,Average Tone,0.0983
2018-04-28,Average Tone,0.6085
2018-04-29,Average Tone,0.4375
2018-04-30,Average Tone,0.2202
2018-05-01,Average Tone,0.4087
2018-05-02,Average Tone,0.8732
2018-05-03,Average Tone,0.9987
2018-05-04,Average Tone,0.6972
2018-05-05,Average Tone,0.3261
2018-05-06,Average Tone,0.3947
2018-05-07,Average Tone,0.3904
2018-05-08,Average Tone,0.6106
2018-05-09,Average Tone,0.3615
2018-05-10,Average Tone,0.443
2018-05-11,Average Tone,0.313
2018-05-12,Average Tone,0.4102
2018-05-13,Average Tone,0.5186
2018-05-14,Average Tone,0.6926
2018-05-15,Average Tone,0.8967
2018-05-16,Average Tone,0.9151
2018-05-17,Average Tone,0.4552
2018-05-18,Average Tone,0.04
2018-05-19,Average Tone,0.5668
2018-05-20,Average Tone,0.6452
2018-05-21,Average Tone,0.5916
2018-05-22,Average Tone,0.5348
2018-05-23,Average Tone,0.5475
2018-05-24,Average Tone,0.517
2018-05-25,Average Tone,-0.413
2018-05-26,Average Tone,0.4758
2018-05-27,Average Tone,0.3599
2018-05-28,Average Tone,0.4068
2018-05-29,Average Tone,0.0239
2018-05-30,Average Tone,0.2463
2018-05-31,Average Tone,0.8803
2018-06-01,Average Tone,-0.1806
2018-06-02,Average Tone,0.4644
2018-06-03,Average Tone,0.2364
2018-06-04,Average Tone,0.5004
2018-06-05,Average Tone,0.6827
2018-06-06,Average Tone,0.5194
2018-06-07,Average Tone,0.7424
2018-06-08,Average Tone,0.7618
2018-06-09,Average Tone,0.8283
2018-06-10,Average Tone,0.2611
2018-06-11,Average Tone,-2.1077
2018-06-12,Average Tone,-0.6671
2018-06-13,Average Tone,-1.0002
2018-06-14,Average Tone,0.3237
2018-06-15,Average Tone,0.5923
2018-06-16,Average Tone,0.3481
2018-06-17,Average Tone,0.2992
2018-06-18,Average Tone,-0.0645
2018-06-19,Average Tone,0.5893
2018-06-20,Average Tone,-1.2473
2018-06-21,Average Tone,0.4004
2018-06-22,Average Tone,-0.5236
2018-06-23,Average Tone,-0.0923
2018-06-24,Average Tone,-0.2916
2018-06-25,Average Tone,-0.1056
2018-06-26,Average Tone,0.4424
2018-06-27,Average Tone,-0.308
2018-06-28,Average Tone,0.6455
2018-06-29,Average Tone,-0.5931
2018-06-30,Average Tone,0.2508
2018-07-01,Average Tone,-0.2975
2018-07-02,Average Tone,0.0651
2018-07-03,Average Tone,0.1298
2018-07-04,Average Tone,0.8815
2018-07-05,Average Tone,-0.0156
2018-07-06,Average Tone,0.6176
