Date,Series,Value
2018-02-11,Average Tone,-1.5578
2018-02-12,Average Tone,-1.7131
2018-02-13,Average Tone,-0.7795
2018-02-14,Average Tone,-0.6868
2018-02-15,Average Tone,-0.4797
2018-02-16,Average Tone,-0.3599
2018-02-17,Average Tone,-0.0246
2018-02-18,Average Tone,-0.4108
2018-02-19,Average Tone,-0.6372
2018-02-20,Average Tone,-0.5767
2018-02-21,Average Tone,-0.5532
2018-02-22,Average Tone,-0.5625
2018-02-23,Average Tone,-0.2042
2018-02-24,Average Tone,-0.2172
2018-02-25,Average Tone,-0.3347
2018-02-26,Average Tone,-0.5425
2018-02-27,Average Tone,-0.5457
2018-02-28,Average Tone,-0.771
2018-03-01,Average Tone,0.0753
2018-03-02,Average Tone,-1.2792
2018-03-03,Average Tone,-1.1865
2018-03-04,Average Tone,-0.9344
2018-03-05,Average Tone,-0.3242
2018-03-06,Average Tone,-0.6836
2018-03-07,Average Tone,-1.118
2018-03-08,Average Tone,-0.9239
2018-03-09,Average Tone,-0.796
2018-03-10,Average Tone,-0.4695
2018-03-11,Average Tone,-0.5962
2018-03-12,Average Tone,-0.533
2018-03-13,Average Tone,-0.7027
2018-03-14,Average Tone,-1.0302
2018-03-15,Average Tone,-1.3287
2018-03-16,Average Tone,-0.5711
2018-03-17,Average Tone,-0.7619
2018-03-18,Average Tone,-0.7327
2018-03-19,Average Tone,-0.8615
2018-03-20,Average Tone,-0.7803
2018-03-21,Average Tone,-0.5936
2018-03-22,Average Tone,-1.0036
2018-03-23,Average Tone,-0.6527
2018-03-24,Average Tone,-0.2742
2018-03-25,Average Tone,-0.2333
2018-03-26,Average Tone,-1.3808
2018-03-27,Average Tone,-1.419
2018-03-28,Average Tone,-0.7181
2018-03-29,Average Tone,-0.483
2018-03-30,Average Tone,-0.7855
2018-03-31,Average Tone,-0.4388
2018-04-01,Average Tone,-0.5588
2018-04-02,Average Tone,-0.1122
2018-04-03,Average Tone,-0.6055
2018-04-04,Average Tone,-0.7747
2018-04-05,Average Tone,-1.0216
2018-04-06,Average Tone,-0.9066
2018-04-07,Average Tone,-0.9194
2018-04-08,Average Tone,-0.5347
2018-04-09,Average Tone,-0.8311
2018-04-10,Average Tone,-1.0734
2018-04-11,Average Tone,-0.4957
2018-04-12,Average Tone,-0.694
2018-04-13,Average Tone,-0.938
2018-04-14,Average Tone,-0.4261
2018-04-15,Average Tone,-0.0056
2018-04-16,Average Tone,-0.1151
2018-04-17,Average Tone,-0.3152
2018-04-18,Average Tone,-0.2756
2018-04-19,Average Tone,-1.1207
2018-04-20,Average Tone,-0.3368
2018-04-21,Average Tone,-0.0738
2018-04-22,Average Tone,-0.1152
2018-04-23,Average Tone,-0.8757
2018-04-24,Average Tone,-0.3996
2018-04-25,Average Tone,-0.5066
2018-04-26,Average Tone,-0.1548
2018-04-27,Average Tone,-0.159
2018-04-28,Average Tone,-0.1643
2018-04-29,Average Tone,0.5955
2018-04-30,Average Tone,-0.2036
2018-05-01,Average Tone,-0.0703
2018-05-02,Average Tone,0.0391
2018-05-03,Average Tone,0.0423
2018-05-04,Average Tone,-0.3033
2018-05-05,Average Tone,-0.7695
2018-05-06,Average Tone,-0.4333
2018-05-07,Average Tone,-0.5293
2018-05-08,Average Tone,-0.2134
2018-05-09,Average Tone,-0.168
2018-05-10,Average Tone,0.3138
2018-05-11,Average Tone,-0.6313
2018-05-12,Average Tone,-0.115
2018-05-13,Average Tone,-0.0718
2018-05-14,Average Tone,-0.1387
2018-05-15,Average Tone,0.1342
2018-05-16,Average Tone,0.1758
2018-05-17,Average Tone,-0.0448
2018-05-18,Average Tone,-0.1181
2018-05-19,Average Tone,0.3921
2018-05-20,Average Tone,-0.0337
2018-05-21,Average Tone,-0.009
2018-05-22,Average Tone,-0.1298
2018-05-23,Average Tone,0.6919
2018-05-24,Average Tone,-0.8229
2018-05-25,Average Tone,-1.0468
2018-05-26,Average Tone,-0.6034
2018-05-27,Average Tone,-1.0403
2018-05-28,Average Tone,-0.1768
2018-05-29,Average Tone,-0.6975
2018-05-30,Average Tone,-0.4074
2018-05-31,Average Tone,0.5027
2018-06-01,Average Tone,-0.3429
2018-06-02,Average Tone,0.2744
2018-06-03,Average Tone,0.2073
2018-06-04,Average Tone,0.056
2018-06-05,Average Tone,-0.2232
2018-06-06,Average Tone,-0.0488
2018-06-07,Average Tone,0.1341
2018-06-08,Average Tone,-0.1755
2018-06-09,Average Tone,0.0432
2018-06-10,Average Tone,-0.3202
2018-06-11,Average Tone,-2.13
2018-06-12,Average Tone,-1.0411
2018-06-13,Average Tone,-1.0513
2018-06-14,Average Tone,-0.2569
2018-06-15,Average Tone,0.1189
2018-06-16,Average Tone,0.131
2018-06-17,Average Tone,-0.5359
2018-06-18,Average Tone,-0.6657
2018-06-19,Average Tone,0.0848
2018-06-20,Average Tone,-1.7234
2018-06-21,Average Tone,-1.1883
2018-06-22,Average Tone,-0.9357
2018-06-23,Average Tone,-0.5543
2018-06-24,Average Tone,-0.7438
2018-06-25,Average Tone,-0.8033
